row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,431_02.mzML Peak area,432_02.mzML Peak area,004_02.mzML Peak area,104_02.mzML Peak area,037_02.mzML Peak area,22_02.mzML Peak area,453_02.mzML Peak area,07_02.mzML Peak area,102_02.mzML Peak area,105_02.mzML Peak area,444_02.mzML Peak area,055_02.mzML Peak area,039_02.mzML Peak area,401_02.mzML Peak area,02_02.mzML Peak area,16_02.mzML Peak area,033_02.mzML Peak area,442_02.mzML Peak area,020_02.mzML Peak area,019_02.mzML Peak area,492_02.mzML Peak area,517_02.mzML Peak area,523_02.mzML Peak area,454_02.mzML Peak area,521_02.mzML Peak area,522_02.mzML Peak area,516_02.mzML Peak area,518_02.mzML Peak area,814_02.mzML Peak area,514_02.mzML Peak area,813_02.mzML Peak area,509_02.mzML Peak area,476_02.mzML Peak area,508_02.mzML Peak area,817_02.mzML Peak area,515_02.mzML Peak area,531_02.mzML Peak area,475_02.mzML Peak area,818_02.mzML Peak area,553_02.mzML Peak area,821_02.mzML Peak area,DB1CP_02.mzML Peak area,DB8_02.mzML Peak area,DBV7_467_02.mzML Peak area,021_03.mzML Peak area,DBV3_542_02.mzML Peak area,822_02.mzML Peak area,BCN28WM_02.mzML Peak area,003_03.mzML Peak area,BCN22WM_02.mzML Peak area,825_02.mzML Peak area,01_03.mzML Peak area,023_03.mzML Peak area,013_03.mzML Peak area,510_02.mzML Peak area,028_03.mzML Peak area,011_03.mzML Peak area,015_03.mzML Peak area,041_03.mzML Peak area,309_03.mzML Peak area,029_03.mzML Peak area,031_03.mzML Peak area,035_03.mzML Peak area,017_03.mzML Peak area,06_03.mzML Peak area,14_03.mzML Peak area,044_03.mzML Peak area,046_03.mzML Peak area,425_03.mzML Peak area,435_03.mzML Peak area,434_03.mzML Peak area,038_03.mzML Peak area,451_03.mzML Peak area,441_03.mzML Peak area,05_03.mzML Peak area,08_03.mzML Peak area,032_03.mzML Peak area,30_03.mzML Peak area,469_03.mzML Peak area,471_03.mzML Peak area,427_03.mzML Peak area,558_03.mzML Peak area,555_03.mzML Peak area,505_03.mzML Peak area,528_03.mzML Peak area,47_03.mzML Peak area,501_03.mzML Peak area,45_03.mzML Peak area,447_03.mzML Peak area,530_03.mzML Peak area,823_03.mzML Peak area,36_03.mzML Peak area,533_03.mzML Peak area,52_03.mzML Peak area,549_03.mzML Peak area,501_03_20221012120828.mzML Peak area,524_03.mzML Peak area,62_03.mzML Peak area,544_03.mzML Peak area,DB1_03.mzML Peak area,DB5_03.mzML Peak area,DB2CP_03.mzML Peak area,DBV4_546_03.mzML Peak area,812_03.mzML Peak area,DB7_03.mzML Peak area,DBCP3_545_03.mzML Peak area,811_03.mzML Peak area,DBCP5_559_03.mzML Peak area,DB3_03.mzML Peak area,R26.mzML Peak area,DB6_03.mzML Peak area,R28.mzML Peak area,511_03.mzML Peak area,R27.mzML Peak area,R3.mzML Peak area,R1.mzML Peak area,R10.mzML Peak area,525_04.mzML Peak area,R29.mzML Peak area,R9.mzML Peak area,R2.mzML Peak area,WM03_02.mzML Peak area,R30.mzML Peak area,R31.mzML Peak area,R33.mzML Peak area,WM02_02.mzML Peak area,WM06_02.mzML Peak area,R32.mzML Peak area,WM17_03.mzML Peak area,R35.mzML Peak area,WM19_03.mzML Peak area,R4.mzML Peak area,R34.mzML Peak area,R6.mzML Peak area,R7.mzML Peak area,R5.mzML Peak area,R8.mzML Peak area,WM20_04.mzML Peak area,WM21_04.mzML Peak area,439_04.mzML Peak area,557_04.mzML Peak area
85,269.088399,0.3302195,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10725.143,0,0,0,0,0,0,0,16066.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3960.1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,180.0868349,0.33137444,,,,,,,,,,,0,71225.4,0,0,49024.543,0,19225.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92554.96,0,0,113151.19,54345.92,0,24212.838,0,0,62837.652,0,35477.21,0,0,0,82836.305,51973.688,0,0,0,0,0,50055.69,0,0,0,67851.445,0,0,0,0,26890.336,0,45204.082,0,0,0,0,50613.402,0,70419.484,52972.082,0,0,0,0,0,61853.96,0,0,0,0,0,0,97374.65,0,20479.537,41332.36,0,0,0,0,0,51706.535,0,0,0,0,0,0,0,64903.348,0,0,0,0,0,0,0,0,0,43975.176,79681.555,0,48074.273,0,93094.01,72106.42,0,21095.89,22455.152,0,101624.06,40821.71,0,0,99031.234,0,42622.598,0,59761.816,0,0,132422.9,88627.625,0,0,105064.33,74390.125,0,0,204571.7,0,0,0,0,0,0,0,25149.607
71,127.0390488,0.33284315,,,,196,,,,,,,0,482365.2,0,400036.34,634109.2,0,377960.84,356858.2,0,0,0,0,0,128819.875,0,322530.56,349315.72,0,0,0,0,140791.9,404257.88,387866.44,0,239989.66,435445.75,0,0,481944.28,538794.75,376605.03,791454.1,641629.75,0,0,202611.69,405730.8,0,0,0,0,496589.97,213870.17,0,0,286289.88,377684.72,471871.9,465512.66,402559.4,0,246332.48,0,503756.8,0,214484.89,0,547224.25,248252.75,0,328036.8,392196.84,0,522654.6,211717.44,0,0,188309.19,0,289469.8,0,584842.4,0,0,122964.34,400368.97,581259.44,605423.6,238396.9,0,446094.56,0,50373.242,536098.2,144090.33,0,0,229694.58,203687.36,0,562239.06,494149.8,130941.734,0,0,487816.62,0,0,369407.8,167406.58,718926.3,0,0,0,0,0,0,0,330470.25,0,0,0,377533.88,0,0,0,450637.72,0,0,0,233338.33,550890.1,241731.12,184031.42,0,309987.94,307181.62,402497.16,250236.1,0,0,459264.1,0,0,357505.03,0,0,0,0,216365.56
560,474.2185812,0.3336512,,,,195,10,[M-H2O+Na]+,,2,616;560,469.24022,89695.734,68428.11,87826.75,104339.06,154436.72,141158.05,147163.6,197573.86,55098.42,67717.9,121067.57,37037.668,40854.516,112187.19,130523.95,141850.92,66094.57,56602.363,232336.5,102241.83,103048.86,130016.57,111175.33,46481.46,630582.94,175409.19,237091.83,193613.7,343697.5,165624.47,396071.72,173062.4,110681.234,447225.75,371848.7,201626.08,205051.45,1080045.8,105580.414,1356005.4,44248.055,29354.598,63370.16,133876.42,355654.56,235986.9,318991.56,309266.97,62229.438,78514.89,318896.38,56911.438,40384.32,47522.15,2531968.8,66122.79,195823.5,38088.605,175287.78,244586.52,99126.91,205337.22,114483.27,46282.438,68829.33,117522.25,20658.686,47544.64,215940.22,88143.586,114199.19,1973672,49125.69,242116.66,80138.14,48531.758,2902849.5,88091.83,165844.11,223263.4,15361.303,179287.66,167271.05,52347.59,162062.55,22291.688,88318.516,120632.36,368190.38,51583.906,47420.043,189095.67,181908.38,51091.273,192643.02,69570.484,131029.36,85942.97,377946.88,67743.266,48540.19,112245.11,63601.477,316553.7,46353.34,105501.54,83473.62,84583.71,35626.64,426134.25,72491.52,245789.42,2198034.2,491836.78,106458.234,227632.92,268554.2,155374.48,278119.12,199478.97,241329.58,96450.76,244443.62,334933.84,391903.3,516731.75,160678.16,376096.34,134616.27,564545,147031.75,106352.7,760503.6,63591.33,67768.29,45127.96,69868.39,204223.12,19105.062,57235.766,92307.02
39,277.0325587,0.33466548,,,,206,1,[M+K]+,,2,105;39,238.06932,4386.481,0,499.34595,38178.21,62173.055,32283.623,0,3488.4966,0,33353.977,1063.7098,0,51205.79,21053.36,0,15151.495,16560.676,27889.666,20177.057,0,935.0111,15716.12,5686.379,3013.3137,1561.2444,2162.9233,16937.781,33932.562,0,67685.15,23351.756,0,30337.705,25066.625,35431.074,14688.663,21411.365,0,8373.787,12625.33,0,14279.323,855.8724,0,0,34098.93,12998.883,41355.785,73579.93,0,17877.32,17715.797,2350.2344,46585.117,0,8780.101,25994.979,0,25838.404,29953.883,0,12525.221,69471.72,2481.686,0,46070.18,46977.56,2772.8518,11049.791,3295.5557,18122.457,0,26161.568,0,2612.5679,3411.3027,0,6730.804,68092.67,4018.8784,0,36887.656,4574.403,34659.848,0,53317.18,0,52370.98,11759.445,0,36901.81,40039.227,29405.46,11371.036,0,0,32358.977,70955.73,0,39339.656,70330.664,60869.824,2884.9805,0,70330.96,14165.883,50290.16,10238.2705,2296.55,1073.6396,68976.11,0,21384.324,0,7377.95,4591.707,4758.21,1793.5776,0,0,0,72181.805,0,0,0,52167.254,57751.24,0,5665.8125,0,0,4412.5635,0,0,0,0,2721.8586,0,5013.5625,699.7272,75313.06
123,121.0649308,0.33541262,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3783810.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,138.0914454,0.33541262,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330937.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,384.2233109,0.33541262,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445656.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,390.2126954,0.33541262,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2860283.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,132.1019982,0.3357486,,,,195,11,[M-H2O+Na]+,,2,140;1120,127.12333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388586,0,0,0,0,1139991.6,0,0,0,0,0,0,0,0,0,0,0,0,2243812.5,0,5938713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5308698.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8495780,0,0,0,0,1.45E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5727904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085073.4,0,0,997082.25,0,0,0,0,0,0,0,0
150,649.2192537,0.3380216,,,,,,,,,,,2002.0225,1749.587,0,4725.7686,3835.7346,3554.293,2022.5284,16417.627,1244.2012,0,0,0,3234.1372,2515.7754,0,5893.2993,24919.592,0,7745.3906,0,0,9276.843,3246.0815,2807.8198,1261.3954,7392.706,3099.6938,12198.598,0,6227.423,7231.5684,6202.915,4550.311,8377.906,0,0,3460.9707,2747.2734,6486.8994,0,0,5339.5264,1012.0056,5938.044,10190.035,1987.1819,4112.2676,3928.0261,2700.3955,3670.2173,5653.333,4210.9023,7312.1484,2146.7705,6148.684,2952.4028,4452.1294,0,5901.7744,12571.565,0,5788.609,5085.5312,0,2811.739,5292.625,1527.8701,3246.9377,5394.451,0,4170.379,0,2863.8667,7616.917,1965.1954,3412.4622,0,4727.588,7560.3438,4105.616,0,4886.7715,0,678.0795,3734.2913,3259.3467,0,5064.806,2641.8616,2925.0718,0,14648.945,3742.154,3834.7412,0,0,0,2107.12,1559.804,1013.0194,4606.668,11220.816,3844.16,15949.436,0,6670.543,4229.1484,2242.6284,0,4217.4385,7322.493,0,11856.183,5307.1763,699.468,6404.5396,7596.4673,5368.055,1286.6562,13520.919,0,3685.2974,5751.4736,3668.4258,1675.3243,3236.6748,9800.202,2237.838,4249.539,3546.957,3530.1396,2630.8618,12354.543,0,1365.8389,2292.6274,1951.9944,0,0,587.65845,10121.539
10,746.2120155,0.33928406,,,,,,,,,,,0,0,0,3732.6572,0,628.1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2404.619,0,3546.1821,3590.2427,4410.1143,3417.881,0,0,0,0,0,0,0,0,0,0,0,0,44636.43,0,9297.464,0,0,4290.1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4403.5625,0,0,0,0,0,0,0,0,2200.7705,0,0,0,0,0,0,3005.481,0,0,2427.9438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3956.0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,148.060535,0.3414071,,,,,,,,,,,56938.43,103025.55,12594.554,229215.12,76594.62,39375.86,148941.75,351267.47,127229.69,110158.06,214265.78,31440.291,143065.66,64342.555,18579.434,96208.41,126028.02,47781.44,373197.66,86608.78,36094.727,388840.88,79209.69,153123.6,75937.73,200861.25,47578.637,191770.52,168082.28,115096.34,523026.06,254683.69,507642.66,362288.78,772354.56,34290.895,176290.39,141879.02,170572.08,194410.94,10376.739,76543.78,123992.22,107990.01,0,259217.88,159097.95,582151,117503.44,148473.08,223937.17,77924.36,28350.799,135286.94,160580.55,53115.824,178269.69,102956.74,31420.043,215949.9,73759.555,84188.37,95973.21,79285.27,59714.61,318300.38,83326.52,186199.56,68285.8,36370.957,52601.465,223958.97,43212.21,240062.97,47098.613,252623.45,34154.12,251634.28,139084.33,96559.35,29648.547,70785.51,173128.61,63314.72,226365.7,107165.375,30098.424,104135.625,477187.44,226100.89,28856.96,314093.47,105417.17,58946.613,146769.39,67424.38,133276.53,99704.76,180434.08,123720.81,109845.766,387523.7,260054.53,369633.34,54870.414,99332.64,90154.48,129504.86,186153.34,168883.45,77096.91,120180.72,250111.86,466440,129373.984,66659,33166.586,219279.97,98337.414,36462.215,218257.88,104874.695,97059.016,43273.72,131860.45,267946,120115.77,206969.47,158529.12,185630.44,98512.49,89621.016,561628.2,60773.5,107792.91,101414.12,149330.02,51772.08,80895.5,86808.61,263364.16
