id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
13_Collado_sirius_iimn_65	C10H23NO7	[M + H]+	C10H23NO7	Fatty acids	0.6854572296142578	Aminosugars and aminoglycosides	0.595890998840332	Aminosugars	0.33961746096611023	Alkyl glycosides	0.6137607097625732	Alkyl glycosides	0.6137607097625732	Fatty acyl glycosides	0.8207535147666931	Fatty Acyls	0.15406280755996704	Lipids and lipid-like molecules	0.45144253969192505	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Amines; Primary amines; Fatty acyl glycosides of mono- and disaccharides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	65
14_Collado_sirius_iimn_66	C30H57NO26	[M + H]+	C30H57NO26	Carbohydrates	0.998044490814209	Saccharides	0.9989606142044067	Polysaccharides	0.9819721579551697	Oligosaccharides	0.9850670099258423	Oligosaccharides	0.9850670099258423	Carbohydrates and carbohydrate conjugates	0.999985933303833	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Oligosaccharides; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Amines; Alkanolamines; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	66
15_Collado_sirius_iimn_71	C6H10O5	[M - H4O2 + H]+	C6H6O3	Carbohydrates	0.8432401418685913	Saccharides	0.8992584943771362	Monosaccharides	0.7483422756195068	Oxepanes	0.6081096529960632					Oxepanes	0.6081096529960632	Organoheterocyclic compounds	0.9991833567619324	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Dioxolanes; Alcohols and polyols; Ethers; Organooxygen compounds; 1,3-dioxolanes; Monosaccharides; Acetals; Secondary alcohols; Oxepanes; Oxanes; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	71
17_Collado_sirius_iimn_81	C32H58N2O25	[M + H]+	C32H58N2O25	Carbohydrates	0.9989113807678223	Saccharides	0.9866107702255249	Polysaccharides	0.8772073984146118	Acylaminosugars	0.7097848653793335	Aminosaccharides	0.9996930360794067	Carbohydrates and carbohydrate conjugates	0.9999995231628418	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Acylaminosugars; Oligosaccharides; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Hemiacetals; Carboxylic acid derivatives; Amino sugars; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; N-acyl-alpha-hexosamines; Polyols; Aminosaccharides; Acetamides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	81
18_Collado_sirius_iimn_82	C6H11O6	[M - H2O + H + H]+	C6H10O5	Carbohydrates	0.9948241710662842	Saccharides	0.9985575079917908	Monosaccharides	0.9228119850158691	Monosaccharides	0.9870196580886841	Monosaccharides	0.9870196580886841	Carbohydrates and carbohydrate conjugates	0.9827082753181458	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Ketones; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hemiacetals; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	82
19_Collado_sirius_iimn_85	C10H12N4O5	[M + H]+	C10H12N4O5	Carbohydrates	0.9996825456619263	Nucleosides	0.9996117949485779	Purine nucleos(t)ides	0.9960348010063171	Purine nucleosides	0.8721722960472107					Purine nucleosides	0.8721722960472107	Nucleosides, nucleotides, and analogues	0.9647241234779358	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Azoles; Purine nucleosides; Diazines; Pentoses; 6-oxopurines; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Tetrahydrofurans; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	85
20_Collado_sirius_iimn_88	C37H50O21	[M + H]+	C37H50O21	Shikimates and Phenylpropanoids	0.4288187325000763	Saccharides	0.49744167923927307	Miscellaneous apocarotenoids	0.42656928300857544	Oligosaccharides	0.578356921672821	Oligosaccharides	0.578356921672821	Carbohydrates and carbohydrate conjugates	0.99953293800354	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Oligosaccharides; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	88
22_Collado_sirius_iimn_97	C8H20NO6P	[M + Na]+	C8H20NO6P	Fatty acids	0.4357554614543915	Glycerophospholipids	0.8701694011688232	Glycerophosphocholines	0.7517372965812683	Phosphocholines	0.9685379862785339	Cholines	0.9947798252105713	Quaternary ammonium salts	0.9993257522583008	Organonitrogen compounds	0.9999960660934448	Organic nitrogen compounds	0.9999990463256836	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Secondary alcohols; Amines; Alkyl phosphates; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	97
23_Collado_sirius_iimn_98	C12H16O8	[M + H]+	C12H16O8	Polyketides	0.7408270239830017	Cyclic polyketides	0.8743088841438293	4-pyrone derivatives	0.8013963103294373	Hexoses	0.9521005749702454	Monosaccharides	0.9873558878898621	Carbohydrates and carbohydrate conjugates	0.9999171495437622	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Furans; Pyrans; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Pyranones and derivatives; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Cyclic ketones; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	98
24_Collado_sirius_iimn_101	C6H14O7	[M - H2O + H]+	C6H12O6	Carbohydrates	0.8597179651260376	Saccharides	0.9952479004859924	Monosaccharides	0.8585794568061829	Hexoses	0.5808795094490051	Monosaccharides	0.9868797063827515	Carbohydrates and carbohydrate conjugates	0.9984341263771057	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Fatty alcohols; Hexoses; Monosaccharides; Secondary alcohols; Sugar alcohols; Polyols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	101
25_Collado_sirius_iimn_102	C13H25O11P	[M + K]+	C13H25O11P	Terpenoids	0.7591954469680786	Monoterpenoids	0.35579660534858704	Acyclic monoterpenoids	0.20585520565509796	Monoalkyl phosphates	0.8785237073898315	Alkyl phosphates	0.9969297051429749	Phosphate esters	0.9877721071243286	Organic phosphoric acids and derivatives	0.9918973445892334	Organic acids and derivatives	0.9999980926513672	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Secondary alcohols; Carbonyl compounds; Alkyl phosphates; Monoalkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	102
26_Collado_sirius_iimn_104	C5H10N2	[M + K]+	C5H10N2	Alkaloids	0.8108835220336914	Lysine alkaloids	0.5109652280807495	Piperidine alkaloids	0.2685405910015106	Azacyclic compounds	0.6476134061813354					Azacyclic compounds	0.6476134061813354	Organoheterocyclic compounds	0.747574508190155	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Monoalkylamines; Amines; Primary amines; Carboximidamides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	104
27_Collado_sirius_iimn_105	C9H10N4O4	[M + Na]+	C9H10N4O4	Amino acids and Peptides	0.6380068063735962	Small peptides	0.683524489402771	Aminoacids	0.6000778079032898	Alpha amino acids and derivatives	0.7064037919044495	Amino acids and derivatives	0.8139610886573792	Amino acids, peptides, and analogues	0.8102174401283264	Carboxylic acids and derivatives	0.9580568671226501	Organic acids and derivatives	0.9772915244102478	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Organic nitro compounds; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	105
28_Collado_sirius_iimn_109	C17H33N2O12P	[M + K]+	C17H33N2O12P	Carbohydrates	0.9026700258255005	Aminosugars and aminoglycosides	0.9957465529441833	Aminosugars	0.9992297887802124	Pentose phosphates	0.8094455003738403	Monosaccharides	0.9987039566040039	Carbohydrates and carbohydrate conjugates	0.9999536275863647	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Organic oxoanionic compounds; Hydroxy acids and derivatives; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pentoses; Monosaccharides; Monosaccharide phosphates; Secondary alcohols; Beta hydroxy acids and derivatives; Organic pyrophosphates; Carbonyl compounds; Oxanes; Glycosyl compounds; Hydropyrimidines; Glycosylamines; Pentose phosphates; Polyols; Amines; Tetrahydrofurans; Aminosaccharides; Alkyl phosphates; Monoalkyl phosphates; Organic cations; Organic salts; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	109
29_Collado_sirius_iimn_123	C8H8O	[M + H]+	C8H8O	Shikimates and Phenylpropanoids	0.9368719458580017	Phenylpropanoids (C6-C3)	0.8649793863296509	Cinnamic acids and derivatives	0.7813498377799988	Styrenes	0.5983931422233582			Styrenes	0.5983931422233582	Benzene and substituted derivatives	0.9892205595970154	Benzenoids	0.999885082244873	Organic compounds; Styrenes; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	123
30_Collado_sirius_iimn_125	C17H29N5O5	[M + H]+	C17H29N5O5	Amino acids and Peptides	0.9041675329208374	Small peptides	0.9228020906448364	Dipeptides	0.5657633543014526	N-acyl-alpha amino acids	0.6225906014442444	Amino acids and derivatives	0.9837149977684021	Amino acids, peptides, and analogues	0.986871600151062	Carboxylic acids and derivatives	0.977661669254303	Organic acids and derivatives	0.9916473627090454	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Substituted imidazoles; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Leucine and derivatives; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	125
31_Collado_sirius_iimn_126	C19H27N5O4	[M + H]+	C19H27N5O4	Alkaloids	0.6494143009185791	Small peptides	0.17520809173583984	Dipeptides	0.0633452907204628	Alpha amino acid amides	0.703244149684906	Amino acids and derivatives	0.8256044983863831	Amino acids, peptides, and analogues	0.8303109407424927	Carboxylic acids and derivatives	0.9823779463768005	Organic acids and derivatives	0.9869096875190735	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alkyl aryl ethers; Anisoles; Piperidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Phenol ethers; Benzenoids; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Tetrahydrofurans; Imidolactams; Dialkylarylamines; Fatty Acyls; Organic oxides; Methoxybenzenes; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	126
32_Collado_sirius_iimn_133	C14H29NO11	[M + H]+	C14H29NO11	Carbohydrates	0.47429585456848145	Saccharides	0.5153595209121704	Disaccharides	0.9252926707267761	Alkyl glycosides	0.5028740763664246	Alkyl glycosides	0.5028740763664246	Fatty acyl glycosides	0.7719544172286987	Fatty Acyls	0.3621385991573334	Lipids and lipid-like molecules	0.6376116275787354	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	133
33_Collado_sirius_iimn_135	C10H16N2O3	[M + H]+	C10H16N2O3	Amino acids and Peptides	0.9991621971130371	Small peptides	0.9999585151672363	Dipeptides	0.9999086856842041	Dipeptides	0.9999963045120239	Peptides	0.9999947547912598	Amino acids, peptides, and analogues	0.9999998807907104	Carboxylic acids and derivatives	0.9999998807907104	Organic acids and derivatives	0.9999997615814209	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Dialkylamines; Pyrrolidinecarboxamides; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; Secondary amines; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	135
